Country,State,City,Month,Year,
USA,Oregon,Portland,,,Home
USA,Washington,Vancouver,,,
USA,Utah,Provo,,,School
USA,California,Anaheim,,2008,
USA,Nevada,Las Vegas,,2008,
USA,Arizona,Phoenix,,2008,
USA,New York,New York,,2002,
USA,Idaho,Boise,,,
USA,Wyoming,Jackson,,1995,
USA,South Dakota,Keystone,,2002,
USA,Iowa,Des Moines,,2002,
USA,Illinois,Champaign,,2002,
USA,Indiana,Indianapolis,,2002,
USA,Ohio,Columbus,,2002,
USA,Pennsylvania,Hershey,,2002,
USA,Maryland,Washington DC,,2002,
USA,Massachusetts,Boston,,2002,
USA,New Mexico,Shiprock,,2008,
USA,Colorado,Denver,,2008,
USA,Nebraska,Lincoln,,2002,
USA,Missouri,Independence,,2002,
USA,Kansas,Wichita,,2002,
,,,,,
Canada,Ontario,Niagara Falls,,2002,
Dominican Republic,,Santo Domingo,February,2016,
